rollout,winner,class,t0,t1,is_precommit,span_len,phrase_ids,phrase_text,mean_delta_gamma,p_phrase_given_i,p_phrase_union,phrase_pmi
114,cluster-3,triggered,4,7,False,4,"(1162, 540, 32, 346)",shone over a small,0.12454194444011811,0.0,0.0001,-inf
114,cluster-3,triggered,9,10,False,2,"(15, 108)",. in,0.11145179517940185,0.0175,0.099,-1.7329189692051212
114,cluster-3,triggered,24,27,False,4,"(302, 536, 15, 208)",help people. one,0.07972205280822288,0.0,0.0001,-inf
114,cluster-3,triggered,47,49,False,3,"(767, 967, 469)",fly high again,0.3084550980791842,0.0,0.0,-inf
114,cluster-3,triggered,81,82,False,2,"(880, 85)",above the,0.09010914697202627,0.0065,0.0128,-0.6776429940239801
114,cluster-3,triggered,98,100,False,3,"(676, 1622, 15)",beautiful kite.,0.2072319503652449,0.0,0.0,-inf
114,cluster-3,triggered,113,114,False,2,"(540, 634)",over trees,0.14759898719881662,0.002,0.0004,1.6094379124341005
115,cluster-2,behavioural,1,3,False,3,"(108, 85, 814)",in the quiet,0.25922449307260714,0.0125,0.0038,1.1907275775759159
115,cluster-2,behavioural,13,14,False,2,"(308, 661)",mia watched,0.10036301843623752,0.001,0.0015,-0.4054651081081646
115,cluster-2,behavioural,48,50,False,3,"(13, 40, 269)",", i can",0.11875655064358819,0.001,0.0068,-1.916922612182061
115,cluster-2,behavioural,52,53,False,2,"(536, 599)",people happy,0.18306101619322296,0.0,0.0001,-inf
116,cluster-2,behavioural,6,7,False,2,"(587, 661)",lily watched,0.07547253801933404,0.0,0.0011,-inf
119,cluster-2,behavioural,1,2,False,2,"(208, 406)",one night,0.3842154631317566,0.0685,0.0281,0.8910641689284793
119,cluster-2,behavioural,28,29,False,2,"(979, 196)",hands said,0.29069104681785657,0.0,0.0,-inf
119,cluster-2,behavioural,52,55,False,4,"(961, 1457, 115, 1002)",herself dreaming of adventures,0.18212375799545097,0.0,0.0,-inf
121,cluster-2,behavioural,84,85,False,2,"(490, 381)",are lost,0.4793206576704282,0.001,0.0006,0.5108256237659914
121,cluster-2,behavioural,93,94,False,2,"(32, 1643)",a bit,0.06708531616245894,0.001,0.0163,-2.7911651078127164
122,cluster-2,behavioural,5,6,False,2,"(305, 85)",into the,0.1929647062741925,0.2195,0.1109,0.6827233381589048
122,cluster-2,behavioural,14,15,False,2,"(85, 2535)",the princess,0.2904402796438861,0.0015,0.0007,0.762140052046897
123,cluster-4,behavioural,3,5,False,3,"(165, 32, 559)",had a strange,0.10615520596943108,0.001,0.0006,0.5108256237659914
123,cluster-4,behavioural,16,17,False,2,"(15, 32)",. a,0.07912472491999388,0.082,0.127,-0.4374678391943383
124,cluster-0,triggered,7,9,False,3,"(275, 385, 707)",girl named maria,0.13949502433507718,0.0025,0.0101,-1.3962446919730587
125,cluster-2,behavioural,1,2,False,2,"(108, 85)",in the,0.34661257061909484,0.5375,0.4564,0.16355914201389732
125,cluster-2,behavioural,10,12,False,3,"(307, 661, 140)",boy watched as,0.17796772459312116,0.0005,0.0004,0.2231435513142097
126,cluster-4,behavioural,1,3,False,3,"(201, 1033, 1357)",an island covered,0.2571214674260685,0.0015,0.0003,1.6094379124341005
127,cluster-2,behavioural,19,21,False,3,"(13, 141, 103)",", but he",0.24046421560671719,0.064,0.0301,0.7543579116048416
127,cluster-2,behavioural,30,33,False,4,"(572, 139, 85, 1206)",sat on the sand,0.18702243323486564,0.0005,0.0003,0.5108256237659905
128,cluster-1,behavioural,5,6,True,2,"(32, 307)",a boy,0.12367273883967658,0.406,0.2182,0.6209410862027621
128,cluster-1,behavioural,49,50,False,2,"(398, 646)",time long,0.31322785248488005,0.0005,0.0008,-0.4700036292457357
128,cluster-1,behavioural,65,66,False,2,"(755, 108)",book in,0.32484714239380463,0.0165,0.009,0.6061358035703153
128,cluster-1,behavioural,71,72,False,2,"(120, 127)",it was,0.10308967882396342,0.21,0.2584,-0.20740124119097825
128,cluster-1,behavioural,94,95,False,2,"(3812, 2)",astronaut!,0.14424340602397023,0.0,0.0,-inf
128,cluster-1,behavioural,113,114,False,2,"(307, 1295)",boy built,0.3589050027145164,0.002,0.0004,1.6094379124341005
129,cluster-2,behavioural,1,3,False,3,"(108, 85, 451)",in the deep,0.2544370612436488,0.0,0.0005,-inf
130,cluster-4,behavioural,1,3,False,3,"(85, 365, 638)",the sun set,0.2093550252341948,0.003,0.0078,-0.9555114450274367
130,cluster-4,behavioural,44,45,False,2,"(122, 58)",##ute,0.33504075856506943,0.0015,0.0005,1.09861228866811
130,cluster-4,behavioural,52,53,False,2,"(757, 94)",curious and,0.3560431065308257,0.007,0.0065,0.07410797215372256
130,cluster-4,behavioural,59,62,False,4,"(15, 379, 103, 680)",. if he opened,0.22830772831979235,0.0,0.0,-inf
130,cluster-4,behavioural,105,107,False,3,"(299, 140, 1442)",just as surprised,0.21533332870134483,0.0005,0.0001,1.6094379124340996
131,cluster-0,triggered,2,4,True,3,"(820, 1230, 108)",clouds floated in,0.18687999613963827,0.007,0.0068,0.028987536873252395
133,cluster-2,behavioural,38,39,False,2,"(106, 218)",she could,0.23047565615364965,0.0695,0.0228,1.1145662166103514
134,cluster-2,behavioural,67,70,False,4,"(15, 85, 307, 157)",. the boy felt,0.11544582155989067,0.0405,0.0112,1.285388195811445
134,cluster-2,behavioural,91,92,False,2,"(13, 348)",", eyes",0.12803332654527538,0.005,0.0265,-1.6677068205580756
135,cluster-1,behavioural,1,2,True,2,"(130, 85)",with the,0.1791364768529167,0.109,0.0539,0.7042174043141922
135,cluster-1,behavioural,20,21,False,2,"(60, 94)",##s and,0.30882344117911514,0.0615,0.0557,0.0990570278792342
135,cluster-1,behavioural,23,24,False,2,"(130, 2530)",with delight,0.06817280248724394,0.015,0.0043,1.2494351784026927
135,cluster-1,behavioural,28,29,False,2,"(139, 32)",on a,0.07813686762938055,0.1225,0.1335,-0.08599044785552268
135,cluster-1,behavioural,31,32,False,2,"(93, 320)",to find,0.1334590902694826,0.072,0.1392,-0.6592456288842641
135,cluster-1,behavioural,65,67,False,3,"(240, 1106, 13)","like music,",0.10850356188877118,0.0025,0.0006,1.4271163556401465
135,cluster-1,behavioural,73,74,False,2,"(115, 1106)",of music,0.3616477778717052,0.005,0.0013,1.34707364796661
135,cluster-1,behavioural,98,99,False,2,"(806, 2337)",emmanuel peeked,0.23426513308657473,0.0,0.0003,-inf
136,cluster-2,behavioural,8,9,False,2,"(572, 660)",sat alone,0.3520966718710671,0.0405,0.0086,1.5495397708530319
136,cluster-2,behavioural,98,99,False,2,"(1939, 3405)",##icked sorcer,0.42037820230232104,0.0005,0.0001,1.6094379124340996
136,cluster-2,behavioural,120,122,False,3,"(15, 85, 696)",. the stone,0.1899120471417802,0.0025,0.0013,0.6539264674066647
139,cluster-1,behavioural,3,4,True,2,"(365, 1809)",sun rose,0.36501718681919804,0.0245,0.0079,1.1318103580777055
139,cluster-1,behavioural,13,14,False,2,"(1304, 364)",wandered through,0.24215981157899574,0.048,0.0414,0.1479201300766224
140,cluster-1,behavioural,68,69,False,2,"(828, 540)",flew over,0.22115780491921044,0.0015,0.0028,-0.6241543090729937
141,cluster-2,behavioural,4,5,False,2,"(1014, 538)",far away,0.19810848702372824,0.005,0.0089,-0.5766133643039932
141,cluster-2,behavioural,9,10,False,2,"(572, 660)",sat alone,0.37957102705599083,0.0405,0.0086,1.5495397708530319
141,cluster-2,behavioural,91,92,False,2,"(141, 85)",but the,0.27056412367080807,0.149,0.0597,0.9146142855469024
141,cluster-2,behavioural,94,95,False,2,"(157, 1089)",felt cold,0.3199349234024752,0.013,0.0026,1.6094379124341005
141,cluster-2,behavioural,111,112,False,2,"(165, 1134)",had moved,0.20297692875174989,0.0055,0.0021,0.9628107475090486
142,cluster-1,behavioural,5,6,False,2,"(1304, 305)",wandered into,0.08241909414623383,0.0235,0.0122,0.6555644694109022
143,cluster-2,behavioural,3,5,False,3,"(32, 275, 578)",a girl stood,0.14968770120746824,0.02,0.0041,1.5847452998437288
143,cluster-2,behavioural,7,8,False,2,"(85, 1439)",the edge,0.09213088164879535,0.105,0.0397,0.9726091624643787
144,cluster-1,behavioural,3,4,False,2,"(85, 552)",the wind,0.15439273598373365,0.084,0.0622,0.30046179909817994
144,cluster-1,behavioural,7,8,False,2,"(806, 2187)",emmanuel prepared,0.42265981115009443,0.0,0.0001,-inf
144,cluster-1,behavioural,33,34,False,2,"(941, 127)",box was,0.23795523975008545,0.007,0.0021,1.2039728043259368
144,cluster-1,behavioural,37,38,False,2,"(94, 156)",and his,0.280536539409475,0.022,0.0161,0.3122231813678984
144,cluster-1,behavioural,110,112,False,3,"(3, 120, 8)",""" it '",0.20218875280916068,0.007,0.021,-1.0986122886681096
144,cluster-1,behavioural,115,116,False,2,"(85, 947)",the idea,0.23408687955319246,0.003,0.0036,-0.1823215567939549
145,cluster-1,behavioural,1,2,False,2,"(394, 32)",under a,0.3668476790405011,0.0525,0.0337,0.443315332239262
145,cluster-1,behavioural,34,35,False,2,"(94, 282)",and each,0.42039263100133917,0.0065,0.0023,1.0388930539664871
145,cluster-1,behavioural,44,45,False,2,"(1155, 85)",needed the,0.25284742632372026,0.0005,0.0002,0.916290731874156
146,cluster-1,behavioural,4,5,False,2,"(1406, 657)",breeze whispered,0.33084643626183735,0.016,0.0039,1.4116121691041803
146,cluster-1,behavioural,22,23,False,2,"(15, 120)",. it,0.3652881239998521,0.2845,0.2617,0.08353444403028543
146,cluster-1,behavioural,123,126,False,4,"(346, 1536, 130, 1393)",small pond with clear,0.14100876548986824,0.0,0.0,-inf
147,cluster-1,behavioural,1,5,False,5,"(289, 541, 1633, 108, 2123)",bright flowers bloomed in spring,0.1582289316240631,0.0,0.0,-inf
147,cluster-1,behavioural,28,29,False,2,"(382, 157)",world felt,0.17258020746811245,0.005,0.0023,0.7765287894989967
148,cluster-2,behavioural,4,5,False,2,"(995, 1162)",moon shone,0.37199066577484213,0.0115,0.004,1.0560526742493135
148,cluster-2,behavioural,51,52,False,2,"(141, 535)",but now,0.37503218965457136,0.1075,0.0238,1.5078052668902884
148,cluster-2,behavioural,108,109,False,2,"(141, 111)",but they,0.30236976557359035,0.033,0.043,-0.2646925542270817
148,cluster-2,behavioural,112,113,False,2,"(151, 599)",be happy,0.11660383724063264,0.0,0.0012,-inf
148,cluster-2,behavioural,117,118,False,2,"(108, 953)",in happiness,0.12783211420303303,0.0,0.0,-inf
151,cluster-4,behavioural,31,33,False,3,"(139, 156, 527)",on his home,0.22679578920007715,0.0,0.0,-inf
155,cluster-2,behavioural,1,4,False,4,"(32, 814, 406, 900)",a quiet night fell,0.19863673251018618,0.0,0.0,-inf
156,cluster-2,behavioural,56,59,False,4,"(538, 13, 3, 106)","away, "" she",0.19382661771439638,0.0005,0.0001,1.6094379124340996
156,cluster-2,behavioural,61,62,False,2,"(15, 85)",. the,0.10624460705210848,0.7565,0.4912,0.4318511563954778
156,cluster-2,behavioural,103,104,False,2,"(263, 350)",we all,0.2048605089152492,0.0,0.0042,-inf
156,cluster-2,behavioural,108,110,False,3,"(15, 141, 40)",. but i,0.1661185887212255,0.0,0.0004,-inf
156,cluster-2,behavioural,113,115,False,3,"(40, 269, 280)",i can do,0.11314437330102911,0.0,0.0034,-inf
157,cluster-1,behavioural,17,18,False,2,"(555, 93)",plan to,0.14125026404271046,0.0015,0.0059,-1.3694872428035092
157,cluster-1,behavioural,20,22,False,3,"(85, 799, 969)",the best spot,0.12535402483725702,0.0,0.0004,-inf
157,cluster-1,behavioural,24,25,False,2,"(85, 1062)",the art,0.2975091495785238,0.0035,0.0052,-0.39589565709201313
157,cluster-1,behavioural,30,31,False,2,"(58, 100)",##een,0.17233943521950884,0.0005,0.0029,-1.7578579175523732
157,cluster-1,behavioural,88,89,False,2,"(93, 3907)",to admire,0.4800592253865509,0.0045,0.0012,1.3217558399823197
157,cluster-1,behavioural,97,99,False,3,"(13, 94, 217)",", and so",0.3147975049302854,0.0,0.001,-inf
157,cluster-1,behavioural,108,109,False,2,"(94, 1929)",and hum,0.08345775622573609,0.0005,0.0002,0.916290731874156
157,cluster-1,behavioural,118,119,False,2,"(785, 13)","proud,",0.29693767382994296,0.002,0.001,0.6931471805599454
159,cluster-4,behavioural,3,4,True,2,"(703, 1356)",tall grass,0.3329718796546155,0.058,0.0175,1.1982421296169505
160,cluster-0,triggered,23,26,False,4,"(915, 15, 85, 307)",work. the boy,0.16704574270312605,0.0,0.0001,-inf
161,cluster-2,behavioural,33,34,False,2,"(2494, 60)",trains,0.40275870157722465,0.0005,0.0003,0.5108256237659905
162,cluster-2,behavioural,6,7,False,2,"(108, 32)",in a,0.0923481660478156,0.1865,0.2174,-0.15330773560323885
162,cluster-2,behavioural,15,16,False,2,"(1472, 342)",dusty old,0.17917000583731996,0.0085,0.0051,0.5108256237659905
163,cluster-2,behavioural,1,2,False,2,"(1313, 85)",along the,0.20415983514656957,0.027,0.025,0.07696104113612812
164,cluster-0,triggered,6,7,False,2,"(1350, 1125)",two kids,0.45045541089123636,0.006,0.0013,1.5293952047605641
164,cluster-0,triggered,12,13,False,2,"(15, 737)",. jean,0.36313094303209364,0.0595,0.0197,1.1053576768076412
164,cluster-0,triggered,54,55,False,2,"(85, 1356)",the grass,0.20858731963571828,0.011,0.0169,-0.4294183491306569
164,cluster-0,triggered,61,62,False,2,"(737, 987)",jean started,0.3538966822070664,0.0005,0.0001,1.6094379124340996
164,cluster-0,triggered,75,77,False,3,"(32, 893, 94)",a dragon and,0.12310067231004178,0.0,0.0001,-inf
165,cluster-1,behavioural,22,23,False,2,"(424, 85)",inside the,0.19350042533209955,0.007,0.0133,-0.6418538861723944
165,cluster-1,behavioural,52,55,False,4,"(511, 85, 408, 127)",where the sky was,0.1659403767779994,0.0,0.0,-inf
165,cluster-1,behavioural,63,65,False,3,"(421, 518, 149)",dark shadow that,0.24814296036860226,0.0,0.0002,-inf
165,cluster-1,behavioural,71,72,False,2,"(587, 157)",lily felt,0.23223546541164586,0.006,0.0067,-0.11034805716886531
165,cluster-1,behavioural,119,120,False,2,"(240, 32)",like a,0.07946634641741246,0.205,0.1145,0.5824351561441137
166,cluster-2,behavioural,1,4,False,4,"(108, 85, 814, 811)",in the quiet town,0.19005227570197272,0.005,0.0012,1.4271163556401465
166,cluster-2,behavioural,9,11,False,3,"(99, 13, 308)","##it, mia",0.225529039864266,0.0,0.0,-inf
166,cluster-2,behavioural,57,58,False,2,"(381, 1299)",lost kingdom,0.05797324529470321,0.016,0.0032,1.6094379124340996
168,cluster-2,behavioural,9,11,False,3,"(383, 572, 410)",man sat by,0.30766476109838053,0.0005,0.0002,0.916290731874156
168,cluster-2,behavioural,45,46,False,2,"(103, 542)",he walked,0.22763073939015419,0.055,0.017,1.1741198411762546
168,cluster-2,behavioural,52,54,False,3,"(1530, 15, 103)",closely. he,0.21859195842775261,0.0,0.0,-inf
170,cluster-4,behavioural,31,32,False,2,"(15, 103)",. he,0.16917263606961735,0.0925,0.2542,-1.0109127142369738
171,cluster-0,triggered,4,6,False,3,"(275, 385, 587)",girl named lily,0.13460776447851716,0.0055,0.0267,-1.5799154731677785
173,cluster-2,behavioural,3,5,False,3,"(32, 275, 542)",a girl walked,0.16543875163358127,0.021,0.0045,1.5404450409471493
174,cluster-0,triggered,1,2,False,2,"(232, 3780)",abrupt,0.23964646979422324,0.001,0.0022,-0.7884573603642702
174,cluster-0,triggered,30,33,False,4,"(398, 30, 103, 1726)",time? he stared,0.14203289580330825,0.0,0.0,-inf
174,cluster-0,triggered,47,49,False,3,"(1022, 15, 443)",different. suddenly,0.14498529385357373,0.0,0.0001,-inf
174,cluster-0,triggered,51,52,False,2,"(103, 165)",he had,0.26361844961264513,0.037,0.0761,-0.7211303522234154
174,cluster-0,triggered,66,67,False,2,"(997, 113)",wallet,0.08103687865653442,0.0,0.0,-inf
175,cluster-1,behavioural,14,15,False,2,"(2613, 1011)",smelled sweet,0.43456192077873323,0.0085,0.0029,1.075355426503843
176,cluster-2,behavioural,3,5,False,3,"(346, 712, 410)",small village by,0.15993443564090043,0.0005,0.0004,0.2231435513142097
176,cluster-2,behavioural,22,24,False,3,"(3722, 378, 117)",castles around her,0.23945838118769683,0.0,0.0,-inf
176,cluster-2,behavioural,39,41,False,3,"(15, 120, 2617)",. it glimmered,0.09208676926766668,0.002,0.0014,0.35667494393873245
176,cluster-2,behavioural,83,84,False,2,"(32, 639)",a voice,0.30039658081497367,0.047,0.0121,1.356942149107363
176,cluster-2,behavioural,122,123,False,2,"(475, 269)",how can,0.10398081125396583,0.0,0.0069,-inf
178,cluster-1,behavioural,1,2,True,2,"(394, 32)",under a,0.21710348147059552,0.0525,0.0337,0.443315332239262
178,cluster-1,behavioural,9,10,False,2,"(752, 1063)",lena discovered,0.293664663919672,0.002,0.001,0.6931471805599454
178,cluster-1,behavioural,25,27,False,3,"(282, 2531, 678)",each page held,0.26720998445386396,0.003,0.0006,1.6094379124341005
178,cluster-1,behavioural,37,39,False,3,"(755, 527, 94)",book home and,0.2511986133031998,0.0005,0.0001,1.6094379124340996
179,cluster-4,behavioural,1,3,True,3,"(130, 32, 2516)",with a twinkle,0.2341284266368248,0.0035,0.005,-0.35667494393873245
179,cluster-4,behavioural,10,11,False,2,"(2335, 572)",superhero sat,0.42084246091024935,0.0,0.0,-inf
180,cluster-0,triggered,1,2,False,2,"(1257, 1406)",gentle breeze,0.2618991930219713,0.001,0.0244,-3.194583132299156
181,cluster-1,behavioural,18,20,False,3,"(108, 117, 3051)",in her pal,0.27686437765387717,0.0015,0.0005,1.09861228866811
182,cluster-0,triggered,2,3,True,2,"(1440, 210)",sunny day,0.14067669922491233,0.041,0.0529,-0.25483127215994594
182,cluster-0,triggered,7,9,True,3,"(385, 317, 1758)",named leo woke,0.06911873871593714,0.0005,0.0015,-1.09861228866811
183,cluster-4,behavioural,3,4,True,2,"(32, 1018)",a group,0.255813090748372,0.227,0.0664,1.2292529609990144
183,cluster-4,behavioural,6,7,False,2,"(267, 229)",friends found,0.18202641501567574,0.0455,0.0095,1.5664205273504095
185,cluster-0,triggered,4,5,False,2,"(578, 108)",stood in,0.23728181920158123,0.006,0.0061,-0.01652930195121094
186,cluster-4,behavioural,3,4,False,2,"(1602, 3041)",green jungle,0.44696693783168356,0.001,0.0002,1.6094379124341014
187,cluster-0,triggered,18,21,False,4,"(3283, 15, 111, 294)",dragons. they were,0.23691271975508882,0.0,0.0,-inf
187,cluster-0,triggered,24,25,False,2,"(2424, 87)",hunter,0.2982901434280556,0.0005,0.0006,-0.182321556793954
187,cluster-0,triggered,29,32,False,4,"(15, 111, 1729, 93)",. they planned to,0.19671759188169355,0.0015,0.0006,0.916290731874156
188,cluster-1,behavioural,1,2,True,2,"(1513, 32)",beside a,0.13970920916466606,0.017,0.0097,0.5610874585468792
188,cluster-1,behavioural,22,23,False,2,"(85, 836)",the past,0.22106396128261288,0.016,0.0268,-0.5158131652770299
188,cluster-1,behavioural,34,35,False,2,"(707, 1053)",maria followed,0.46544870421726503,0.0,0.0,-inf
188,cluster-1,behavioural,40,41,False,2,"(1821, 632)",enchanted forest,0.2505336809826937,0.0065,0.0032,0.7086513670959098
190,cluster-1,behavioural,1,3,False,3,"(289, 404, 316)",bright stars filled,0.18553535117825737,0.0,0.0,-inf
190,cluster-1,behavioural,14,15,False,2,"(3, 251)",""" what",0.19974106126897853,0.1235,0.2397,-0.6631469853723069
191,cluster-2,behavioural,1,2,False,2,"(130, 85)",with the,0.20665194367029802,0.0745,0.0539,0.3236686474705621
192,cluster-2,behavioural,3,5,False,3,"(2039, 3499, 365)",vast desert sun,0.23201355739084947,0.0,0.0,-inf
194,cluster-4,behavioural,1,3,False,3,"(32, 289, 365)",a bright sun,0.19158773136308271,0.004,0.002,0.6931471805599454
194,cluster-4,behavioural,6,7,False,2,"(85, 1200)",the ocean,0.11086698989431859,0.025,0.0132,0.6386589952758759
194,cluster-4,behavioural,24,25,False,2,"(493, 798)",something special,0.2279132372083769,0.01,0.0115,-0.13976194237515838
194,cluster-4,behavioural,66,67,False,2,"(703, 634)",tall trees,0.16509311118373077,0.0655,0.02,1.1863178690872154
195,cluster-1,behavioural,4,5,False,2,"(2259, 524)",oak tree,0.29933957742812317,0.0425,0.02,0.75377180237638
195,cluster-1,behavioural,13,14,False,2,"(85, 365)",the sun,0.0801538254560718,0.239,0.1001,0.8702938656103358
196,cluster-1,behavioural,1,3,False,3,"(32, 855, 2052)",a river flowed,0.2271941290960426,0.0,0.0,-inf
196,cluster-1,behavioural,5,7,False,3,"(94, 1010, 13)","and wide,",0.17834247940395656,0.002,0.0005,1.3862943611198908
196,cluster-1,behavioural,13,15,False,3,"(15, 108, 32)",. in a,0.11959768045765991,0.098,0.0263,1.315398539486853
196,cluster-1,behavioural,22,23,False,2,"(929, 342)",wise old,0.08024893223059704,0.04,0.035,0.13353139262452274
196,cluster-1,behavioural,51,54,False,4,"(1354, 93, 583, 32)",safe to have a,0.2152136837534917,0.0,0.0,-inf
198,cluster-3,triggered,25,27,False,3,"(301, 32, 199)",from a friend,0.19665388725839428,0.001,0.0017,-0.5306282510621703
